player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
RYAN MATHEW,5936.0,3810.3,1863.9,194.1,67.7,0.0,22.0,5.0,25.3,2022-12-03,1.0,GK,Australia,True,90.0,90.0,90.0
DEGENEK MILOS,8171.5,2916.4,3359.3,1138.3,594.1,163.4,105.0,47.0,30.4,2022-12-03,2.0,DF,Australia,True,90.0,90.0,90.0
ROWLES KYE,10720.8,3216.3,5416.2,1369.1,484.6,234.8,122.0,39.0,31.8,2022-12-03,4.0,DF,Australia,True,90.0,90.0,90.0
LECKIE MATHEW,8594.5,2612.7,4058.3,1118.1,543.2,262.1,117.0,56.0,32.8,2022-12-03,7.0,FW,Australia,True,72.0,72.0,90.0
MOOY AARON,11999.9,3205.2,6587.9,1635.6,396.0,176.4,143.0,31.0,30.1,2022-12-03,13.0,MF,Australia,True,90.0,90.0,90.0
MCGREE RILEY,7447.0,1946.6,3780.1,1115.6,544.4,60.3,102.0,43.0,28.2,2022-12-03,14.0,MF,Australia,True,58.0,58.0,90.0
DUKE MITCHELL,8977.4,2924.8,3670.0,1379.8,796.3,206.5,128.0,58.0,30.1,2022-12-03,15.0,FW,Australia,True,72.0,72.0,90.0
BEHICH AZIZ,10520.9,3637.1,4872.2,1204.6,576.5,231.5,106.0,42.0,32.0,2022-12-03,16.0,DF,Australia,True,90.0,90.0,90.0
SOUTTAR HARRY,9861.2,3461.3,5011.5,948.6,358.0,82.8,86.0,30.0,29.7,2022-12-03,19.0,DF,Australia,True,90.0,90.0,90.0
IRVINE JACKSON,12977.7,3481.9,6038.5,2435.9,882.5,138.9,198.0,66.0,30.1,2022-12-03,22.0,MF,Australia,True,58.0,58.0,90.0
BACCUS KEANU,7933.5,1748.5,4525.3,1219.4,387.9,52.4,100.0,34.0,27.2,2022-12-03,26.0,MF,Australia,True,72.0,72.0,90.0
KARACIC FRAN,3007.6,1089.1,1178.4,385.6,276.4,78.5,37.0,23.0,30.8,2022-12-03,5.0,DF,Australia,False,72.0,18.0,90.0
