player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,position,total_playing_time
ABDELKARIM HASSAN,28506.9,10928.0,12685.7,2797.8,1483.7,609.6,266.0,128.0,33.1,DF,270.0
ABDI ALI,23776.1,8946.0,8722.1,3029.1,2226.1,854.1,280.0,164.0,34.2,DF,161.0
ABDULAZIZ HATEM,31597.1,9411.4,15009.5,5055.9,1865.0,253.10000000000002,463.0,123.0,29.9,MF,260.0
ABDULELAH ALAMRI,21195.9,9006.7,7438.5,2595.6,1492.0,663.9,268.0,120.0,33.7,DF,225.0
ABDUL SAMED SALIS,32009.2,8593.7,15750.7,5494.8,1784.8,386.2,489.0,142.0,31.1,MF,252.0
ACUNA MARCOS,43218.7,15948.5,18509.6,5272.4,2536.7,952.2,482.0,200.0,31.9,MF,308.0
ADAMS TYLER,49621.5,13354.9,21768.3,9444.2,3735.0,1319.2,773.0,286.0,33.0,MF,360.0
AGUERD NAYEF,38188.4,14893.199999999999,16999.0,3977.9,1563.4,755.0,401.0,142.0,34.9,DF,354.0
AKANJI MANUEL,37581.0,14878.8,16320.5,4289.3,1581.5,510.09999999999997,394.0,133.0,34.3,DF,353.0
AKE NATHAN,62642.1,22156.600000000002,29844.5,7364.4,2436.4,840.6,652.0,213.0,33.3,DF,494.0
AKRAM AFIF,29070.300000000003,11994.0,10870.2,3272.0,1863.5,1070.3999999999999,306.0,167.0,34.9,FW,258.0
ALBA JORDI,30238.800000000003,11303.800000000001,13062.0,3127.0,2054.0,691.5999999999999,283.0,157.0,32.9,DF,266.0
ALDERWEIRELD TOBY,29209.1,11493.6,13339.8,3087.4,1052.0,236.39999999999998,286.0,84.0,29.5,DF,270.0
ALEX SANDRO,21420.9,6871.5,10250.3,2741.7,1176.9,380.3,237.0,93.0,32.6,DF,175.0
ALI ALBULAYHI,23775.7,10042.4,9457.8,2371.7000000000003,1362.2,542.7,223.0,118.0,33.0,DF,164.0
ALISSON,20722.399999999998,16804.2,3447.1,369.1,77.5,24.4,48.0,8.0,30.5,GK,380.0
ALMOEZ ALI,23461.8,8278.4,10496.099999999999,3135.3,1121.9,430.0,284.0,104.0,31.1,FW,200.0
ALVAREZ EDSON,20569.9,7258.200000000001,9476.3,2516.7,1014.8,303.9,233.0,85.0,32.1,DF,136.0
ALVAREZ JULIAN,57189.8,19750.0,22703.7,7762.2,4467.5,2507.1,723.0,359.0,33.6,FW,548.0
AMALLAHSELIM,50831.6,14637.7,25466.5,6982.5,3103.0,642.2,634.0,240.0,32.2,MF,421.0
AMART EY DANIEL,29697.9,11459.7,13564.8,3030.3999999999996,1223.4,417.90000000000003,284.0,96.0,33.2,DF,270.0
AMPADU ETHAN,31328.199999999997,8713.9,15605.4,4751.3,1566.8,690.8,395.0,120.0,33.0,DF,262.0
AMRABAT SOFYAN,81435.8,26035.7,39057.9,10712.0,4444.9,1188.1,966.0,365.0,33.4,MF,648.0
ANDERSEN JOACHIM,30821.800000000003,10785.4,13752.300000000001,4114.9,1587.2,583.0,355.0,123.0,31.8,DF,270.0
ANTONY,20243.7,7637.599999999999,8152.8,2721.2,1058.5,672.9,236.0,107.0,34.3,DF,170.0
ASENSIO MARCO,28856.899999999998,10024.4,12656.5,3897.1000000000004,1776.5,504.0,322.0,134.0,32.5,FW,231.0
ASSIM MADIBO,15070.2,4183.4,8418.2,1984.8,446.0,37.6,192.0,42.0,28.4,MF,180.0
ATTIAT-ALLAHYAHYA,39582.3,13686.9,16041.2,5532.6,3049.7,1270.8,489.0,240.0,34.7,DF,254.0
AYEW ANDRE,23382.0,7558.6,10877.400000000001,3375.7,1313.2,258.1,287.0,100.0,29.1,FW,211.0
AYEW JORDAN,16823.6,5758.599999999999,6846.0,2470.6,1280.4,467.0,229.0,103.0,33.3,FW,137.0
AZPILICUETA CESAR,16328.2,5456.1,7563.299999999999,2094.5,905.7,308.6,186.0,80.0,29.9,DF,136.0
BACCUS KEANU,18248.4,4063.8,9743.1,2988.4,1244.2,209.0,256.0,97.0,31.8,MF,126.0
BALE GARETH,25853.2,9856.7,11119.0,3605.8999999999996,1044.5,227.7,316.0,87.0,31.3,FW,225.0
BATSHUAYI MICHY,16334.0,5933.8,6390.8,2489.8,1155.7,363.1,218.0,86.0,30.6,FW,153.0
BEHICH AZIZ,42280.2,15112.7,18763.1,5153.4,2180.4,1069.6,477.0,176.0,32.0,DF,360.0
BELLINGHAM JUDE,51812.7,18134.5,19400.9,8223.2,4716.7,1336.6,735.0,336.0,32.7,MF,360.0
BENTANCUR RODRIGO,30012.300000000003,10661.9,12485.8,4536.7,1645.9,683.1,376.0,129.0,33.2,0,214.0
BERESZYNSKI BARTOSZ,39255.6,15250.2,16674.0,3924.7,2376.1,1027.7,369.0,191.0,34.2,DF,299.0
BERGHUIS STE VE N,29138.9,9558.3,11140.400000000001,5718.8,2062.0,658.9,448.0,155.0,32.1,MF,222.0
BERGWIJN STEVEN,22819.8,8306.099999999999,10007.4,2434.3,1607.2,465.0,235.0,130.0,34.6,FW,215.0
BERNARDO SILVA,49239.0,13464.8,23646.4,8478.4,2984.0,665.4,669.0,203.0,31.1,MF,358.0
BIELIK KRYSTIAN,27819.7,8310.1,14066.1,4059.9,1250.6,132.9,332.0,76.0,28.2,MF,215.0
BLIND DALEY,61266.8,20075.4,26014.6,9830.6,4643.5,703.5,843.0,298.0,29.1,DF,444.0
BORGES CELSO,20533.4,6221.2,10330.7,3051.3999999999996,785.9,145.1,275.0,53.0,31.3,MF,162.0
BORJAN MILAN,12337.599999999999,9395.2,2346.1,444.90000000000003,143.2,8.2,51.0,11.0,26.3,GK,270.0
BOUALEM KHOUKHI,25607.0,10810.7,11095.7,2482.4,864.0999999999999,351.4,236.0,81.0,29.9,DF,270.0
BOUFAL SOFIANE,50725.0,18893.3,20472.0,6904.5,3715.8,737.9,633.0,285.0,32.2,MF,482.0
BOUNOUYASSINE,32754.5,24822.0,7251.1,558.4,123.7,0.0,56.0,13.0,24.3,GK,570.0
BRONN DYLAN,18148.7,7646.8,7953.0,1828.0,620.3,100.7,159.0,50.0,28.3,DF,163.0
BROZOVIC MARCELO,78868.7,17925.1,40079.8,16024.3,4402.0,437.4,1146.0,288.0,31.5,MF,540.0
BRUNO FERNANDES,44788.1,15427.3,18756.5,6351.0,3113.6,1139.5,540.0,227.0,34.0,MF,357.0
BUCHANAN TAJON,33641.0,10158.0,15349.6,4715.6,2270.4,1147.2,404.0,183.0,35.2,FW,223.0
BUSQUETS SERGIO,44871.8,14084.7,24112.3,5100.0,1428.3,146.5,449.0,101.0,29.3,MF,240.0
CAICEDO MOISES,31140.0,9699.6,14687.2,4858.1,1558.1,338.1,410.0,125.0,32.4,MF,247.0
CAMPBELL JOEL,18969.199999999997,8215.2,7335.6,2405.7,847.8,165.1,223.0,64.0,30.1,FW,180.0
CARVAJAL DANI,15236.699999999999,5513.3,6127.299999999999,2210.8999999999996,1054.0,331.3,197.0,89.0,32.3,DF,134.0
CASEMIRO,48341.9,14646.4,25351.699999999997,6424.3,1693.9,226.7,510.0,128.0,28.6,MF,383.0
CASH MATTY,39885.0,15833.8,16378.0,3918.6,2502.7,1250.9,366.0,216.0,33.8,DF,284.0
CASTAGNE TIMOTHY,35225.1,10840.2,15148.8,5411.9,2867.6,959.0,479.0,220.0,33.7,MF,270.0
CHAVEZ LUIS,32640.5,10920.5,14645.7,4769.5,1881.6999999999998,422.09999999999997,395.0,136.0,32.2,DF,270.0
CHO GUESUNG,33643.6,10889.0,15242.7,4435.9,2361.6,715.4,417.0,201.0,31.9,FW,233.0
CHRISTENSEN ANDREAS,28823.4,11310.9,13445.0,2586.3,1112.3000000000002,369.0,242.0,89.0,34.5,DF,270.0
CISS PATHE,16100.599999999999,5995.0,6794.5,2276.9,830.0,203.7,199.0,67.0,30.6,MF,146.0
COAT ES SEBASTIAN,26328.8,11800.3,10438.599999999999,2945.5,922.5,221.2,256.0,73.0,29.8,0,180.0
COMAN KINGSLEY,20661.6,7515.1,8474.2,2620.7,1334.0,715.9,249.0,119.0,34.4,FW,151.0
COURTOIS THIBAUT,8288.3,6617.0,1421.1,170.10000000000002,80.0,0.0,27.0,6.0,24.7,GK,180.0
CRISTIANO RONALDO,30502.4,13352.5,11600.0,3024.1,1652.7,874.1,308.0,150.0,32.2,FW,268.0
DAHMEN AYMEN,12164.6,9718.6,2100.0,298.5,37.1,10.4,46.0,6.0,27.9,GK,270.0
DAMSGAARD MIKKEL,19373.9,5938.799999999999,8917.3,2573.8,1476.4,468.70000000000005,223.0,113.0,32.9,MF,149.0
DANILO,31189.4,11563.4,11682.9,4661.3,2188.0,1091.6,418.0,165.0,34.6,DF,282.0
